label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,total_steps,n_veh_onsets,n_lm_onsets,reached_goal,wall_s
LOOMING_BOOST_PEAK|down,20260706,0.10537,0.06866,8.32531,0.23077,0.41327,0.04348,2.78842,9.72928,0.94044,0.04277,0.01805,4156,13,23,True,157.9
LOOMING_BOOST_PEAK|down,20260707,0.11438,0.07957,7.54130,0.36364,0.49490,0.17391,3.00160,10.69006,1.64779,0.03833,0.01508,4177,11,23,True,159.0
LOOMING_BOOST_PEAK|down,20260708,0.11804,0.10458,7.85143,0.22222,0.00000,0.08696,3.00612,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,160.9
LOOMING_BOOST_PEAK|down,20260709,0.10951,0.08297,9.12154,0.44444,0.31012,0.00000,2.88119,10.27647,1.24434,0.04758,0.01300,4155,9,22,True,159.0
LOOMING_BOOST_DECAY|up,20260705,0.10621,0.08780,7.81883,0.12500,0.00000,0.09524,2.79524,10.59064,1.41700,0.03981,0.02122,4195,16,21,True,161.6
LOOMING_BOOST_DECAY|up,20260706,0.11492,0.09596,8.41879,0.33333,0.26250,0.04348,2.97930,10.78035,1.19880,0.04269,0.01669,4193,12,23,True,161.5
LOOMING_BOOST_DECAY|up,20260707,0.11441,0.07952,7.54130,0.30000,0.65987,0.17391,3.00278,10.69006,1.64779,0.03815,0.01436,4177,10,23,True,161.3
LOOMING_BOOST_DECAY|up,20260708,0.11610,0.08285,8.24111,0.27273,0.00000,0.08000,2.98995,10.88372,1.34715,0.04249,0.01554,4247,11,25,True,162.2
LOOMING_BOOST_DECAY|up,20260709,0.10953,0.08217,9.12154,0.50000,0.30606,0.00000,2.88228,10.27647,1.24434,0.04743,0.01444,4155,10,22,True,160.6
LOOMING_BOOST_DECAY|down,20260705,0.11993,0.10708,7.56563,0.23077,0.06327,0.22222,3.06872,11.05780,2.13592,0.03749,0.01862,4190,13,18,True,127.1
LOOMING_BOOST_DECAY|down,20260706,0.11790,0.11342,9.54279,0.38462,0.51000,0.05000,3.03473,10.58101,1.21581,0.04965,0.01829,4265,13,20,True,127.9
LOOMING_BOOST_DECAY|down,20260707,0.11438,0.07930,7.54130,0.30000,0.65987,0.17391,3.00257,10.69006,1.64779,0.03833,0.01436,4177,10,23,True,124.6
LOOMING_BOOST_DECAY|down,20260708,0.12754,0.10277,8.80257,0.27273,0.00000,0.12500,3.21426,11.85119,1.23584,0.04658,0.01517,4351,11,24,True,124.7
LOOMING_BOOST_DECAY|down,20260709,0.10950,0.08297,9.12154,0.50000,0.30606,0.00000,2.88141,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,121.0
baseline_memth,20260705,0.12178,0.15660,8.07206,0.16000,0.54490,0.28000,3.11636,11.49701,2.13904,0.04161,0.03369,4274,25,25,True,160.1
baseline_memth,20260706,0.11595,0.07146,8.28235,0.36364,0.00000,0.05882,2.97085,11.31176,1.78749,0.04254,0.01435,4250,11,17,True,157.1
baseline_memth,20260707,0.11779,0.10698,8.70572,0.42857,0.72653,0.10526,3.04829,11.10000,1.92102,0.04522,0.00972,4319,7,19,True,158.7
baseline_memth,20260708,0.12115,0.08153,9.66543,0.42857,0.36327,0.09524,3.08449,11.05114,2.41449,0.05006,0.01952,4304,14,21,True,158.4
baseline_memth,20260709,0.11600,0.12225,8.60367,0.35714,1.08198,0.10000,2.99358,10.39560,2.35174,0.04367,0.01975,4254,14,20,True,157.6
